name x1 y1 x2 y2 x3 y3 x4 y4 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727011001_02101_00004_nrcblong_cal.fits 150.113668 2.569487 150.099582 2.536616 150.066503 2.550711 150.080588 2.583583 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727057001_02101_00002_nrcalong_cal.fits 150.199973 2.369919 150.186052 2.337038 150.153005 2.351065 150.166925 2.383946 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727057001_02101_00003_nrcalong_cal.fits 150.205390 2.382528 150.191469 2.349648 150.158422 2.363675 150.172342 2.396556 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727056001_02101_00003_nrcalong_cal.fits 150.138235 2.304365 150.124315 2.271484 150.091269 2.285511 150.105189 2.318392 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727056001_02101_00002_nrcblong_cal.fits 150.113255 2.247145 150.099172 2.214274 150.066101 2.228369 150.080183 2.261241 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727039001_02101_00002_nrcblong_cal.fits 149.872961 2.437114 149.858876 2.404243 149.825801 2.418338 149.839885 2.451210 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727022001_02101_00001_nrcalong_cal.fits 150.265630 2.448788 150.251709 2.415907 150.218660 2.429934 150.232580 2.462815 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727011001_02101_00003_nrcblong_cal.fits 150.115182 2.568785 150.101096 2.535914 150.068017 2.550008 150.082102 2.582880 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727049001_02101_00003_nrcblong_cal.fits 150.049185 2.387610 150.035101 2.354739 150.002027 2.368834 150.016110 2.401705 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727055001_02101_00004_nrcalong_cal.fits 150.169728 2.395653 150.155807 2.362772 150.122759 2.376800 150.136680 2.409681 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727032001_02101_00003_nrcblong_cal.fits 150.423788 2.353972 150.409704 2.321100 150.376630 2.335195 150.390714 2.368067 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727061001_02101_00001_nrcblong_cal.fits 150.247225 2.301167 150.233141 2.268295 150.200068 2.282390 150.214151 2.315262 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727036001_02101_00004_nrcalong_cal.fits 150.510151 2.374436 150.496230 2.341556 150.463183 2.355583 150.477103 2.388464 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727053001_02101_00004_nrcblong_cal.fits 150.116000 2.363468 150.101916 2.330597 150.068842 2.344692 150.082925 2.377563 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727024001_02101_00001_nrcalong_cal.fits 150.299794 2.436363 150.285873 2.403482 150.252824 2.417510 150.266745 2.450391 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727011001_02101_00001_nrcblong_cal.fits 150.108249 2.556878 150.094163 2.524006 150.061085 2.538101 150.075170 2.570973 
